,DEPT,GR,SP,RHOB,DPHI,NPHI,VSHALE,PHIT,PHIE
185,337.5,132.6305,-65.2063,2.3774,0.19450299999999998,0.32887900000000003,0.6237897495341947,0.270178472171637,0.10164391068616015
186,338.0,138.8345,-66.1161,2.331,0.221635,0.33622399999999997,0.6182318522251748,0.2847530960332126,0.10870966204574647
187,338.5,146.32,-67.1023,2.2765,0.253535,0.34541,0.6122072332691897,0.30297529959140235,0.11749162967964606
188,339.0,148.8058,-67.6245,2.2308,0.280246,0.35479900000000003,0.6090171541586488,0.319703105174942,0.12499842988561564
189,339.5,146.725,-67.4613,2.2011,0.29760000000000003,0.35965600000000003,0.6100141302422188,0.3300895320485035,0.1287302532538746
190,340.0,146.8712,-66.6629,2.1855,0.30672699999999997,0.355475,0.6148914936314488,0.33199693383674495,0.12785484330880756
191,340.5,149.7367,-65.4104,2.1802,0.309802,0.34280099999999997,0.6225429185375241,0.3267183839371455,0.1233221676610516
192,341.0,154.1437,-63.9688,2.1853,0.30686,0.327209,0.6313495406090596,0.3171977216823917,0.11693508581597337
193,341.5,157.3814,-62.7399,2.2049,0.295395,0.313739,0.6388567949540304,0.30470507556159937,0.11004216758209036
194,342.0,148.9702,-62.2114,2.2435,0.272826,0.303671,0.6420853602736798,0.2886607892639733,0.10331592239253025
195,342.5,123.1339,-62.6581,2.2995,0.24004899999999998,0.2955,0.6393565047802316,0.2692060292796207,0.0970874033336377
196,343.0,92.5266,-63.8321,2.3615,0.20378799999999997,0.287657,0.6321846302574912,0.2492750474806895,0.09168719375669125
197,343.5,75.926,-65.096,2.4121,0.174216,0.280192,0.6244635636396958,0.2333010624922227,0.08761304960740195
198,344.0,74.9527,-65.932,2.4421,0.156666,0.27436299999999997,0.6193565047802315,0.22340466795145528,0.08503753365745373
199,344.5,73.917,-66.1246,2.4573,0.14776,0.271146,0.618179926387489,0.21834968618708844,0.08337029325322279
200,345.0,65.5992,-65.4377,2.4666,0.14236000000000001,0.270438,0.6223761449647209,0.21610539262591297,0.08160655145730983
201,345.5,60.9019,-63.5748,2.4719,0.139216,0.27149999999999996,0.6337564559088549,0.21574677825636238,0.07901586469485657
202,346.0,65.654,-60.7546,2.4715,0.139455,0.273893,0.6509848379608418,0.21733047700909322,0.07585163164937621
203,346.5,72.0491,-57.9518,2.4646,0.14353,0.277696,0.6681069247686247,0.22103837824685557,0.07336110710050484
204,347.0,73.8549,-56.1032,2.4531,0.15023,0.282711,0.6793998781270045,0.22637862357232408,0.07257701430672807
205,347.5,74.1212,-55.1916,2.4404,0.157638,0.287674,0.6849687714957696,0.2319548116767574,0.07307300927999628
206,348.0,77.2848,-54.5009,2.4284,0.164667,0.290712,0.6891882039769083,0.23625059558972544,0.07342947192676767
207,348.5,82.6001,-53.7789,2.4166,0.171582,0.290989,0.693598845719173,0.23886709782324564,0.07318915449275369
208,349.0,85.6418,-53.7323,2.4045,0.17866900000000002,0.28962,0.6938835214881334,0.24062663605781467,0.07365977846617477
209,349.5,81.2533,-55.0806,2.3944,0.184573,0.288462,0.6856468618467272,0.2421544112472453,0.07612199909322974
210,350.0,72.5142,-57.3488,2.3909,0.186595,0.288293,0.671790604783286,0.2428276630390368,0.07969832042793028
211,350.5,71.4198,-59.071,2.3978,0.18258,0.288813,0.6612698191759064,0.24160753855064207,0.08183976522172315
212,351.0,80.8995,-59.3069,2.4144,0.172847,0.290033,0.6598287244570696,0.23874172917401768,0.08121307853845042
213,351.5,94.1542,-58.6423,2.4346,0.161062,0.293095,0.663888714071902,0.2364800698462769,0.07948362037239856
214,352.0,103.8252,-58.5377,2.4496,0.152301,0.29956,0.6645277073215432,0.2376255333513215,0.07971678247230893
215,352.5,106.2341,-59.9248,2.4548,0.149266,0.310155,0.6560540215034057,0.2433890535552082,0.08371268618040607
